region_encoded,forecast,year,previous_value,growth_rate
1,53.5,2023,43.2,0.042
2,52.5,2023,42.5,0.035
3,52.0,2023,42.1,0.033
1,54.5,2024,45.0,0.022
2,51.0,2024,44.0,-0.034
3,49.5,2024,43.5,-0.057
1,55.7,2025,46.0,0.026
2,52.3,2025,42.5,0.031
3,50.8,2025,41.0,0.032
1,55.3,2024,45.0,0.04
2,51.7,2024,42.5,0.016
3,51.6,2024,42.0,0.026
1,58.0,2025,47.2,0.049
2,54.1,2025,43.8,0.041
3,52.6,2025,42.3,0.043
4,59.7,2023,49.8,0.028
4,60.9,2024,51.2,0.023
4,62.3,2025,52.4,0.027
5,47.1,2023,37.5,0.029
5,48.2,2024,38.6,0.028
5,49.4,2025,39.7,0.03
